respondent_id,Q1_age,Q2_region,Q3_education,Q4_occupation,Q5_income,Q7_monthly_investment,Q9_time_horizon,Q11_dropout,Q12_loss_reaction,Q13_loss_aversion,Q14_autonomy,Q15_influence,Q19_tax_importance,Q20_app_comfort,Q21_data_sharing,Q23_wtp,Q23_wtp_numeric,Q20_pct_invest,Q24_nps,Q25_adoption_5class,Q25_adoption_3class,Q25_adoption_score,Q9_risk_appetite,goal_retirement,goal_child_edu,goal_home,goal_emergency,goal_tax_saving,goal_wealth,goal_travel,goal_business,goal_debt,inv_fd,inv_mf,inv_equity,inv_ppf_epf,inv_nps,inv_gold,inv_realestate,inv_insurance,inv_crypto,inv_none,plat_zerodha,plat_groww,plat_etmoney,plat_paytmmoney,plat_bankapp,plat_indmoney,plat_kuvera,plat_excel,plat_advisor,plat_none,pain_no_start,pain_confusing,pain_no_time,pain_fear_loss,pain_high_min,pain_no_advice,pain_tax,pain_bad_app,pain_no_trust,switch_better_reco,switch_lower_fees,switch_simpler_ux,switch_more_products,switch_human_advisor,switch_security,switch_loyal,switch_no_platform,feat_goal_planning,feat_ai_reco,feat_tax_tool,feat_one_platform,feat_sip_auto,feat_networth,feat_rebalance,feat_baskets,feat_education,feat_human_advisor,feat_family,feat_insurance,trust_sebi,trust_security,trust_brand,trust_reviews,trust_fees,trust_trial,trust_media
R0368,45-54,Tier-2,Graduate,Salaried-Private,25-50L,5K-15K,7-15yr,Never tried,Sell some,No preference,Guided,Parents,5,3,Yes-fully,<299,3,20-30%,4,Likely to use,Likely,23.16,Moderate,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
R0369,25-34,Metro,Graduate,Self-employed,6-12L,5K-15K,15+yr,Never tried,Check advisor,Lean B,Family decides,Spouse/Partner,4,4,Yes-if-regulated,<499,4,5-10%,9,Neutral,Neutral,21.38,Moderate,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0
R0370,18-24,Tier-3,Graduate,Student,<3L,<1K,7-15yr,Never tried,Hold,No preference,Full delegation,Finfluencer,5,4,Basic only,Maybe,1,20-30%,9,Unlikely to use,Unlikely,18.3,Conservative,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0
R0371,18-24,Tier-2,Graduate,Self-employed,<3L,Nothing,15+yr,Use it still,Hold,Lean B,Full delegation,Bank Manager,1,5,Yes-fully,Free only,0,5-10%,10,Unlikely to use,Unlikely,20.71,Moderate,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
R0372,18-24,Tier-3,Graduate,Salaried-Private,3-6L,5K-15K,3-7yr,No value,Hold,No preference,Guided,Friends/Colleagues,2,4,Basic only,Maybe,1,<5%,7,Unlikely to use,Unlikely,18.43,Aggressive,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0
R0373,18-24,Tier-2,Up to 12th,Homemaker,<3L,<1K,3-7yr,Use it still,Hold,Lean A,DIY,Myself,4,3,Yes-if-regulated,<99,2,<5%,10,Unlikely to use,Unlikely,20.6,Moderate,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
R0374,35-44,Tier-2,Graduate,Homemaker,12-25L,5K-15K,3-7yr,Too complicated,Hold,No preference,Family decides,Parents,3,1,Yes-if-regulated,>499,5,20-30%,9,Unlikely to use,Unlikely,19.73,Conservative,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
R0375,18-24,Tier-2,Postgraduate,Salaried-Private,6-12L,>50K,15+yr,No value,Buy more,Lean A,Guided,Financial Advisor,1,4,Yes-if-regulated,Free only,0,20-30%,7,Definitely will not use,Unlikely,13.97,Moderate,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0
R0376,25-34,Metro,Postgraduate,Salaried-Private,6-12L,1K-5K,1-3yr,No value,Check advisor,Lean B,Guided,Myself,3,5,Yes-fully,>499,5,5-10%,10,Definitely will use,Likely,30.21,Very Aggressive,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
R0377,45-54,Metro,Graduate,Freelancer,6-12L,<1K,3-7yr,Never tried,Hold,Lean B,Guided,Finfluencer,4,2,Basic only,>499,5,5-10%,9,Definitely will use,Likely,26.04,Very Aggressive,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
R0378,18-24,Tier-3,Professional,Student,6-12L,1K-5K,1-3yr,Never tried,Hold,No preference,Guided,Friends/Colleagues,5,5,Yes-fully,<299,3,<5%,10,Likely to use,Likely,24.08,Aggressive,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0
R0379,45-54,Tier-2,Graduate,Retired,12-25L,15K-50K,3-7yr,No trust,Hold,No preference,Family decides,Parents,3,3,No-privacy,>499,5,10-20%,10,Definitely will not use,Unlikely,16.15,Moderate,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0
R0380,25-34,Tier-3,Postgraduate,Student,6-12L,5K-15K,15+yr,Bad support,Check advisor,Lean A,DIY,Finfluencer,5,1,Basic only,<499,4,5-10%,9,Likely to use,Likely,23.41,Conservative,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0
R0381,18-24,Tier-3,Up to 12th,Self-employed,3-6L,1K-5K,3-7yr,No trust,Hold,Lean A,Guided,Myself,5,3,Yes-fully,>499,5,5-10%,7,Likely to use,Likely,23.92,Moderate,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0
R0382,35-44,Tier-3,Up to 12th,Self-employed,3-6L,1K-5K,15+yr,Use it still,Hold,No preference,Guided,Friends/Colleagues,3,3,Yes-if-regulated,<99,2,<5%,10,Likely to use,Likely,24.32,Moderate,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0
R0383,35-44,Rural,Postgraduate,Salaried-Private,25-50L,5K-15K,7-15yr,Never tried,Hold,No preference,Follow trusted people,Spouse/Partner,4,4,Yes-if-regulated,<499,4,10-20%,10,Neutral,Neutral,22.46,Aggressive,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1
R0384,45-54,Tier-2,Postgraduate,Salaried-Private,25-50L,>50K,7-15yr,Too complicated,Hold,Lean A,DIY,Friends/Colleagues,5,3,Yes-if-regulated,>499,5,10-20%,9,Neutral,Neutral,22.37,Very Conservative,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
R0385,35-44,Metro,Professional,Salaried-Govt,6-12L,15K-50K,7-15yr,Never tried,Hold,Lean B,DIY,Friends/Colleagues,4,5,No-privacy,<299,3,20-30%,10,Neutral,Neutral,21.93,Moderate,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0
R0386,45-54,Tier-2,Postgraduate,Self-employed,12-25L,1K-5K,3-7yr,Use it still,Sell everything,Definitely A,DIY,Myself,4,2,Basic only,<99,2,10-20%,8,Definitely will not use,Unlikely,15.94,Very Conservative,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
R0387,25-34,Metro,Professional,Self-employed,>50L,5K-15K,3-7yr,Too complicated,Buy more,Lean A,DIY,Myself,4,5,No-privacy,<499,4,20-30%,10,Neutral,Neutral,21.81,Aggressive,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
R0388,18-24,Tier-2,Up to 12th,Freelancer,<3L,5K-15K,3-7yr,Too complicated,Buy more,No preference,Full delegation,Bank Manager,4,4,Yes-if-regulated,<299,3,5-10%,9,Unlikely to use,Unlikely,19.42,Aggressive,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
R0389,35-44,Tier-3,Up to 12th,Salaried-Private,6-12L,5K-15K,3-7yr,Never tried,Hold,Definitely B,Full delegation,Bank Manager,5,3,Yes-if-regulated,<299,3,10-20%,10,Definitely will not use,Unlikely,15.25,Aggressive,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
R0390,45-54,Tier-2,Up to 12th,Self-employed,3-6L,5K-15K,3-7yr,Never tried,Hold,No preference,Family decides,Financial Advisor,1,4,Yes-if-regulated,<299,3,<5%,7,Definitely will not use,Unlikely,16.96,Moderate,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0
R0391,55+,Metro,Graduate,Salaried-Private,6-12L,15K-50K,<1yr,Never tried,Sell everything,Lean A,Full delegation,Bank Manager,2,3,Basic only,<499,4,10-20%,8,Unlikely to use,Unlikely,19.72,Very Conservative,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1
R0392,25-34,Metro,Postgraduate,Salaried-Govt,3-6L,1K-5K,3-7yr,Never tried,Check advisor,Lean B,Guided,Parents,5,5,Yes-fully,<499,4,<5%,10,Definitely will use,Likely,25.91,Aggressive,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
R0393,25-34,Tier-2,Postgraduate,Freelancer,>50L,>50K,7-15yr,No value,Sell everything,No preference,Family decides,Bank Manager,5,4,Yes-fully,<499,4,20-30%,10,Neutral,Neutral,21.33,Moderate,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
R0394,35-44,Metro,Up to 12th,Freelancer,12-25L,5K-15K,3-7yr,No trust,Sell some,Definitely B,Guided,Financial Advisor,4,4,Yes-fully,<499,4,20-30%,10,Likely to use,Likely,23.11,Aggressive,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0
R0395,25-34,Tier-3,Professional,Retired,25-50L,1K-5K,7-15yr,Use it still,Hold,Definitely B,DIY,Myself,3,4,Yes-if-regulated,>499,5,20-30%,10,Definitely will use,Likely,26.9,Moderate,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
R0396,55+,Metro,Professional,Salaried-Private,25-50L,15K-50K,15+yr,No trust,Sell some,No preference,Follow trusted people,Finfluencer,5,4,Yes-fully,>499,5,20-30%,9,Definitely will use,Likely,26.19,Conservative,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1
R0397,45-54,Metro,Graduate,Salaried-Govt,12-25L,5K-15K,3-7yr,Never tried,Hold,Lean A,Guided,Friends/Colleagues,3,2,Yes-if-regulated,>499,5,<5%,7,Unlikely to use,Unlikely,19.56,Moderate,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0
R0398,25-34,Metro,Up to 12th,Salaried-Private,3-6L,1K-5K,3-7yr,No trust,Hold,Lean A,Guided,Myself,3,4,Yes-if-regulated,<99,2,<5%,8,Unlikely to use,Unlikely,19.52,Very Conservative,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
R0399,35-44,Tier-2,Graduate,Salaried-Govt,25-50L,15K-50K,1-3yr,Use it still,Hold,Lean B,Guided,Friends/Colleagues,5,2,Basic only,<499,4,10-20%,7,Definitely will not use,Unlikely,16.9,Aggressive,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
R0400,35-44,Tier-2,Graduate,Student,>50L,15K-50K,3-7yr,Use it still,Hold,No preference,Guided,Parents,4,3,Yes-if-regulated,<99,2,20-30%,7,Unlikely to use,Unlikely,20.18,Moderate,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
R0401,18-24,Metro,Graduate,Freelancer,3-6L,Nothing,7-15yr,Never tried,Hold,No preference,Guided,Financial Advisor,4,5,Yes-if-regulated,>499,5,10-20%,10,Likely to use,Likely,23.24,Moderate,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0
R0402,45-54,Metro,Postgraduate,Student,>50L,15K-50K,1-3yr,Never tried,Sell everything,Definitely A,DIY,Friends/Colleagues,3,3,No-privacy,<499,4,5-10%,9,Unlikely to use,Unlikely,19.04,Very Conservative,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
R0403,25-34,Tier-2,Graduate,Salaried-Private,6-12L,<1K,1-3yr,Use it still,Hold,Lean A,Family decides,Financial Advisor,5,4,Yes-fully,>499,5,<5%,10,Definitely will use,Likely,30.19,Aggressive,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
R0404,45-54,Metro,Graduate,Student,12-25L,1K-5K,3-7yr,No trust,Check advisor,Definitely A,Guided,Myself,2,3,Yes-fully,<99,2,20-30%,8,Definitely will not use,Unlikely,17.5,Very Conservative,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0
R0405,25-34,Tier-2,Doctorate,Salaried-Private,12-25L,>50K,15+yr,Never tried,Hold,Lean B,Guided,Friends/Colleagues,4,5,Yes-fully,<299,3,5-10%,10,Definitely will use,Likely,28.13,Moderate,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1
R0406,45-54,Tier-2,Postgraduate,Student,6-12L,<1K,7-15yr,Too complicated,Check advisor,Lean A,Follow trusted people,Friends/Colleagues,5,3,Yes-fully,<499,4,5-10%,10,Likely to use,Likely,24.41,Moderate,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
R0407,25-34,Metro,Professional,Salaried-Private,<3L,Nothing,15+yr,No trust,Hold,Definitely B,Guided,Finfluencer,3,4,Basic only,Free only,0,5-10%,8,Definitely will not use,Unlikely,13.64,Moderate,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
R0408,18-24,Metro,Graduate,Salaried-Private,3-6L,1K-5K,15+yr,Too complicated,Hold,Lean A,Follow trusted people,Friends/Colleagues,5,4,Yes-fully,>499,5,10-20%,9,Likely to use,Likely,23.78,Conservative,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
R0409,45-54,Rural,Graduate,Self-employed,12-25L,5K-15K,1-3yr,Use it still,Buy more,Lean A,Follow trusted people,Friends/Colleagues,1,3,Basic only,<499,4,5-10%,10,Likely to use,Likely,24.98,Moderate,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0
R0410,18-24,Tier-2,Postgraduate,Homemaker,6-12L,<1K,<1yr,Never tried,Hold,Lean B,Full delegation,Myself,5,5,Yes-fully,<499,4,>30%,10,Definitely will use,Likely,27.76,Moderate,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
R0411,25-34,Tier-2,Up to 12th,Salaried-Private,3-6L,1K-5K,3-7yr,No value,Hold,Lean A,Full delegation,Financial Advisor,4,4,Basic only,<299,3,10-20%,9,Neutral,Neutral,23.03,Conservative,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
R0412,55+,Metro,Up to 12th,Salaried-Govt,25-50L,15K-50K,1-3yr,Too complicated,Hold,Definitely A,DIY,Myself,5,2,Yes-fully,>499,5,5-10%,9,Likely to use,Likely,23.16,Very Conservative,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1
R0413,55+,Tier-2,Postgraduate,Student,6-12L,1K-5K,1-3yr,Too complicated,Sell everything,Lean A,Follow trusted people,Parents,3,3,Yes-if-regulated,<299,3,10-20%,5,Definitely will not use,Unlikely,17.13,Conservative,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
R0414,35-44,Metro,Postgraduate,Salaried-Govt,12-25L,1K-5K,1-3yr,Use it still,Sell some,Lean A,DIY,Bank Manager,5,3,Basic only,>499,5,20-30%,9,Definitely will use,Likely,28.14,Conservative,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0
R0415,35-44,Tier-2,Graduate,Salaried-Private,3-6L,5K-15K,1-3yr,Use it still,Buy more,Definitely B,Follow trusted people,Friends/Colleagues,4,3,Yes-fully,Maybe,1,<5%,5,Definitely will not use,Unlikely,15.79,Very Aggressive,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
R0416,25-34,Rural,Postgraduate,Salaried-Govt,3-6L,5K-15K,<1yr,Too complicated,Hold,Lean B,DIY,Myself,4,4,Yes-fully,>499,5,5-10%,10,Likely to use,Likely,24.55,Aggressive,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
R0417,25-34,Tier-2,Graduate,Salaried-Govt,12-25L,15K-50K,15+yr,Never tried,Hold,No preference,Guided,Financial Advisor,5,4,Yes-fully,<299,3,10-20%,10,Likely to use,Likely,23.8,Moderate,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1
R0418,25-34,Metro,Up to 12th,Homemaker,6-12L,<1K,15+yr,No trust,Hold,No preference,DIY,Myself,5,3,Yes-if-regulated,<299,3,10-20%,5,Definitely will not use,Unlikely,17.14,Moderate,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
R0419,35-44,Metro,Graduate,Freelancer,25-50L,5K-15K,1-3yr,Too complicated,Buy more,Lean A,Full delegation,Financial Advisor,2,5,Yes-if-regulated,>499,5,10-20%,10,Neutral,Neutral,21.63,Aggressive,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0
R0420,35-44,Tier-2,Graduate,Self-employed,3-6L,1K-5K,3-7yr,No trust,Hold,Lean B,Family decides,Finfluencer,5,4,Basic only,<299,3,<5%,10,Unlikely to use,Unlikely,20.11,Moderate,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0
R0421,45-54,Metro,Up to 12th,Retired,6-12L,<1K,1-3yr,Too complicated,Buy more,Definitely B,Follow trusted people,Spouse/Partner,4,2,Yes-fully,<299,3,5-10%,6,Definitely will not use,Unlikely,17.88,Aggressive,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
